experiment,dataset,method,seed,trial,accuracy,best_so_far,elapsed_sec
exp2_ablation,CIFAR-100,Legacy-Full,44,11,0.7434,0.765,
exp2_ablation,CIFAR-100,Legacy-Full,44,12,0.7206,0.765,
exp2_ablation,CIFAR-100,Legacy-Full,44,13,0.748,0.765,
exp2_ablation,CIFAR-100,Legacy-Full,44,14,0.7396,0.765,
exp2_ablation,CIFAR-100,Legacy-Full,44,15,0.7394,0.765,
exp2_ablation,CIFAR-100,Legacy-Full,44,16,0.754,0.765,
exp2_ablation,CIFAR-100,Legacy-Full,44,17,0.7692,0.7692,
exp2_ablation,CIFAR-100,Legacy-Full,44,18,0.736,0.7692,
exp2_ablation,CIFAR-100,Legacy-Full,44,19,0.7206,0.7692,
exp2_ablation,CIFAR-100,Legacy-Full,44,20,0.736,0.7692,
exp2_ablation,CIFAR-100,Legacy-Full,44,21,0.754,0.7692,
exp2_ablation,CIFAR-100,Legacy-Full,44,22,0.754,0.7692,
exp2_ablation,CIFAR-100,Legacy-Full,44,23,0.7434,0.7692,
exp2_ablation,CIFAR-100,Legacy-Full,44,24,0.7396,0.7692,
exp2_ablation,CIFAR-100,Legacy-Full,44,25,0.7326,0.7692,
exp2_ablation,CIFAR-100,CCRC-Full,42,1,0.7242,0.7242,
exp2_ablation,CIFAR-100,CCRC-Full,42,2,0.7406,0.7406,
exp2_ablation,CIFAR-100,CCRC-Full,42,3,0.7596,0.7596,
exp2_ablation,CIFAR-100,CCRC-Full,42,4,0.741,0.7596,
exp2_ablation,CIFAR-100,CCRC-Full,42,5,0.7406,0.7596,
exp2_ablation,CIFAR-100,CCRC-Full,42,6,0.7406,0.7596,
exp2_ablation,CIFAR-100,CCRC-Full,42,7,0.7288,0.7596,
exp2_ablation,CIFAR-100,CCRC-Full,42,8,0.7452,0.7596,
exp2_ablation,CIFAR-100,CCRC-Full,42,9,0.6608,0.7596,
exp2_ablation,CIFAR-100,CCRC-Full,42,10,0.7254,0.7596,
exp2_ablation,CIFAR-100,CCRC-Full,42,11,0.7406,0.7596,
exp2_ablation,CIFAR-100,CCRC-Full,42,12,0.7288,0.7596,
exp2_ablation,CIFAR-100,CCRC-Full,42,13,0.7644,0.7644,
exp2_ablation,CIFAR-100,CCRC-Full,42,14,0.741,0.7644,
exp2_ablation,CIFAR-100,CCRC-Full,42,15,0.733,0.7644,
exp2_ablation,CIFAR-100,CCRC-Full,42,16,0.7606,0.7644,
exp2_ablation,CIFAR-100,CCRC-Full,42,17,0.7386,0.7644,
exp2_ablation,CIFAR-100,CCRC-Full,42,18,0.7284,0.7644,
exp2_ablation,CIFAR-100,CCRC-Full,42,19,0.75,0.7644,
exp2_ablation,CIFAR-100,CCRC-Full,42,20,0.7406,0.7644,
exp2_ablation,CIFAR-100,CCRC-Full,42,21,0.741,0.7644,
exp2_ablation,CIFAR-100,CCRC-Full,42,22,0.7288,0.7644,
exp2_ablation,CIFAR-100,CCRC-Full,42,23,0.7224,0.7644,
exp2_ablation,CIFAR-100,CCRC-Full,42,24,0.7642,0.7644,
exp2_ablation,CIFAR-100,CCRC-Full,42,25,0.759,0.7644,
exp2_ablation,CIFAR-100,CCRC-Full,43,1,0.7624,0.7624,
exp2_ablation,CIFAR-100,CCRC-Full,43,2,0.732,0.7624,
exp2_ablation,CIFAR-100,CCRC-Full,43,3,0.7386,0.7624,
exp2_ablation,CIFAR-100,CCRC-Full,43,4,0.7478,0.7624,
exp2_ablation,CIFAR-100,CCRC-Full,43,5,0.7174,0.7624,
exp2_ablation,CIFAR-100,CCRC-Full,43,6,0.7324,0.7624,
exp2_ablation,CIFAR-100,CCRC-Full,43,7,0.732,0.7624,
exp2_ablation,CIFAR-100,CCRC-Full,43,8,0.719,0.7624,
exp2_ablation,CIFAR-100,CCRC-Full,43,9,0.7126,0.7624,
exp2_ablation,CIFAR-100,CCRC-Full,43,10,0.7478,0.7624,
exp2_ablation,CIFAR-100,CCRC-Full,43,11,0.7518,0.7624,
exp2_ablation,CIFAR-100,CCRC-Full,43,12,0.732,0.7624,
exp2_ablation,CIFAR-100,CCRC-Full,43,13,0.7596,0.7624,
exp2_ablation,CIFAR-100,CCRC-Full,43,14,0.7484,0.7624,
exp2_ablation,CIFAR-100,CCRC-Full,43,15,0.7426,0.7624,
exp2_ablation,CIFAR-100,CCRC-Full,43,16,0.732,0.7624,
exp2_ablation,CIFAR-100,CCRC-Full,43,17,0.7338,0.7624,
exp2_ablation,CIFAR-100,CCRC-Full,43,18,0.7478,0.7624,
exp2_ablation,CIFAR-100,CCRC-Full,43,19,0.732,0.7624,
exp2_ablation,CIFAR-100,CCRC-Full,43,20,0.759,0.7624,
exp2_ablation,CIFAR-100,CCRC-Full,43,21,0.7628,0.7628,
exp2_ablation,CIFAR-100,CCRC-Full,43,22,0.7478,0.7628,
exp2_ablation,CIFAR-100,CCRC-Full,43,23,0.7324,0.7628,
exp2_ablation,CIFAR-100,CCRC-Full,43,24,0.7436,0.7628,
exp2_ablation,CIFAR-100,CCRC-Full,43,25,0.7386,0.7628,
exp2_ablation,CIFAR-100,CCRC-Full,44,1,0.7396,0.7396,
exp2_ablation,CIFAR-100,CCRC-Full,44,2,0.7394,0.7396,
exp2_ablation,CIFAR-100,CCRC-Full,44,3,0.754,0.754,
exp2_ablation,CIFAR-100,CCRC-Full,44,4,0.7394,0.754,
exp2_ablation,CIFAR-100,CCRC-Full,44,5,0.7278,0.754,
exp2_ablation,CIFAR-100,CCRC-Full,44,6,0.7206,0.754,
exp2_ablation,CIFAR-100,CCRC-Full,44,7,0.754,0.754,
exp2_ablation,CIFAR-100,CCRC-Full,44,8,0.7558,0.7558,
exp2_ablation,CIFAR-100,CCRC-Full,44,9,0.7206,0.7558,
exp2_ablation,CIFAR-100,CCRC-Full,44,10,0.736,0.7558,
exp2_ablation,CIFAR-100,CCRC-Full,44,11,0.7394,0.7558,
exp2_ablation,CIFAR-100,CCRC-Full,44,12,0.736,0.7558,
exp2_ablation,CIFAR-100,CCRC-Full,44,13,0.754,0.7558,
exp2_ablation,CIFAR-100,CCRC-Full,44,14,0.7434,0.7558,
exp2_ablation,CIFAR-100,CCRC-Full,44,15,0.7652,0.7652,
exp2_ablation,CIFAR-100,CCRC-Full,44,16,0.7394,0.7652,
exp2_ablation,CIFAR-100,CCRC-Full,44,17,0.7566,0.7652,
exp2_ablation,CIFAR-100,CCRC-Full,44,18,0.7682,0.7682,
exp2_ablation,CIFAR-100,CCRC-Full,44,19,0.7394,0.7682,
exp2_ablation,CIFAR-100,CCRC-Full,44,20,0.7396,0.7682,
exp2_ablation,CIFAR-100,CCRC-Full,44,21,0.7328,0.7682,
exp2_ablation,CIFAR-100,CCRC-Full,44,22,0.736,0.7682,
exp2_ablation,CIFAR-100,CCRC-Full,44,23,0.766,0.7682,
exp2_ablation,CIFAR-100,CCRC-Full,44,24,0.7206,0.7682,
exp2_ablation,CIFAR-100,CCRC-Full,44,25,0.7666,0.7682,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,42,1,0.6554,0.6554,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,42,2,0.7122,0.7122,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,42,3,0.6284,0.7122,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,42,4,0.6828,0.7122,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,42,5,0.6802,0.7122,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,42,6,0.6266,0.7122,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,42,7,0.6848,0.7122,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,42,8,0.6686,0.7122,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,42,9,0.7582,0.7582,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,42,10,0.6266,0.7582,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,42,11,0.6584,0.7582,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,42,12,0.6944,0.7582,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,42,13,0.5788,0.7582,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,42,14,0.6492,0.7582,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,42,15,0.6794,0.7582,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,42,16,0.7296,0.7582,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,42,17,0.7636,0.7636,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,42,18,0.6586,0.7636,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,42,19,0.6058,0.7636,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,42,20,0.6586,0.7636,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,42,21,0.6762,0.7636,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,42,22,0.755,0.7636,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,42,23,0.7642,0.7642,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,42,24,0.6802,0.7642,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,42,25,0.6702,0.7642,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,43,1,0.6482,0.6482,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,43,2,0.6676,0.6676,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,43,3,0.6842,0.6842,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,43,4,0.6816,0.6842,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,43,5,0.6668,0.6842,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,43,6,0.6866,0.6866,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,43,7,0.6668,0.6866,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,43,8,0.461,0.6866,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,43,9,0.6728,0.6866,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,43,10,0.7132,0.7132,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,43,11,0.727,0.727,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,43,12,0.6254,0.727,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,43,13,0.6272,0.727,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,43,14,0.6818,0.727,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,43,15,0.6732,0.727,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,43,16,0.67,0.727,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,43,17,0.6482,0.727,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,43,18,0.6884,0.727,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,43,19,0.6574,0.727,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,43,20,0.6152,0.727,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,43,21,0.6694,0.727,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,43,22,0.6482,0.727,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,43,23,0.6466,0.727,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,43,24,0.6884,0.727,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,43,25,0.662,0.727,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,44,1,0.7426,0.7426,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,44,2,0.6424,0.7426,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,44,3,0.6518,0.7426,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,44,4,0.6622,0.7426,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,44,5,0.6348,0.7426,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,44,6,0.6264,0.7426,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,44,7,0.7046,0.7426,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,44,8,0.5978,0.7426,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,44,9,0.7194,0.7426,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,44,10,0.6914,0.7426,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,44,11,0.6518,0.7426,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,44,12,0.6834,0.7426,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,44,13,0.652,0.7426,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,44,14,0.609,0.7426,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,44,15,0.6348,0.7426,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,44,16,0.686,0.7426,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,44,17,0.6492,0.7426,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,44,18,0.6186,0.7426,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,44,19,0.6674,0.7426,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,44,20,0.6484,0.7426,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,44,21,0.6928,0.7426,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,44,22,0.6432,0.7426,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,44,23,0.6612,0.7426,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,44,24,0.6674,0.7426,
exp2_ablation,CIFAR-100,CCRC-NoEpisodic,44,25,0.7088,0.7426,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,42,1,0.7378,0.7378,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,42,2,0.729,0.7378,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,42,3,0.729,0.7378,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,42,4,0.7374,0.7378,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,42,5,0.7432,0.7432,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,42,6,0.7162,0.7432,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,42,7,0.729,0.7432,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,42,8,0.7218,0.7432,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,42,9,0.7162,0.7432,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,42,10,0.7616,0.7616,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,42,11,0.7162,0.7616,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,42,12,0.7162,0.7616,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,42,13,0.7338,0.7616,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,42,14,0.7338,0.7616,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,42,15,0.7162,0.7616,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,42,16,0.7494,0.7616,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,42,17,0.7162,0.7616,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,42,18,0.7162,0.7616,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,42,19,0.7162,0.7616,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,42,20,0.7442,0.7616,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,42,21,0.7162,0.7616,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,42,22,0.6904,0.7616,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,42,23,0.746,0.7616,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,42,24,0.7218,0.7616,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,42,25,0.7162,0.7616,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,43,1,0.7692,0.7692,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,43,2,0.7364,0.7692,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,43,3,0.7612,0.7692,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,43,4,0.7266,0.7692,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,43,5,0.7628,0.7692,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,43,6,0.7174,0.7692,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,43,7,0.7266,0.7692,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,43,8,0.6336,0.7692,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,43,9,0.7174,0.7692,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,43,10,0.7616,0.7692,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,43,11,0.7202,0.7692,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,43,12,0.7548,0.7692,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,43,13,0.7174,0.7692,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,43,14,0.7616,0.7692,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,43,15,0.7558,0.7692,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,43,16,0.7174,0.7692,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,43,17,0.7174,0.7692,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,43,18,0.7174,0.7692,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,43,19,0.7716,0.7716,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,43,20,0.7266,0.7716,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,43,21,0.7386,0.7716,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,43,22,0.7662,0.7716,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,43,23,0.7638,0.7716,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,43,24,0.7334,0.7716,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,43,25,0.7266,0.7716,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,44,1,0.76,0.76,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,44,2,0.7516,0.76,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,44,3,0.7232,0.76,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,44,4,0.7264,0.76,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,44,5,0.7678,0.7678,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,44,6,0.7232,0.7678,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,44,7,0.7232,0.7678,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,44,8,0.7278,0.7678,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,44,9,0.7486,0.7678,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,44,10,0.7278,0.7678,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,44,11,0.7232,0.7678,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,44,12,0.7278,0.7678,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,44,13,0.7232,0.7678,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,44,14,0.6854,0.7678,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,44,15,0.7242,0.7678,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,44,16,0.76,0.7678,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,44,17,0.7232,0.7678,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,44,18,0.75,0.7678,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,44,19,0.7278,0.7678,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,44,20,0.7278,0.7678,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,44,21,0.7264,0.7678,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,44,22,0.7278,0.7678,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,44,23,0.7668,0.7678,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,44,24,0.7232,0.7678,
exp2_ablation,CIFAR-100,CCRC-NoCoupledRisk,44,25,0.7278,0.7678,
